CCAA_ID,CodigoINE,NombreOficial,NombreCorto,Tipo,EsNacional
Nacional,00,Nacional,Nacional,Nacional,TRUE
Andalucía,01,Andalucía,Andalucía,Comunidad Autónoma,FALSE
Aragón,02,Aragón,Aragón,Comunidad Autónoma,FALSE
Asturias (Principado de),03,Asturias (Principado de),Asturias,Comunidad Autónoma,FALSE
Balears (Illes),04,Balears (Illes),Baleares,Comunidad Autónoma,FALSE
Canarias,05,Canarias,Canarias,Comunidad Autónoma,FALSE
Cantabria,06,Cantabria,Cantabria,Comunidad Autónoma,FALSE
Castilla y León,07,Castilla y León,Castilla y León,Comunidad Autónoma,FALSE
Castilla-La Mancha,08,Castilla-La Mancha,Castilla-La Mancha,Comunidad Autónoma,FALSE
Cataluña,09,Cataluña,Cataluña,Comunidad Autónoma,FALSE
Comunitat Valenciana,10,Comunitat Valenciana,Valencia,Comunidad Autónoma,FALSE
Extremadura,11,Extremadura,Extremadura,Comunidad Autónoma,FALSE
Galicia,12,Galicia,Galicia,Comunidad Autónoma,FALSE
Madrid (Comunidad de),13,Madrid (Comunidad de),Madrid,Comunidad Autónoma,FALSE
Murcia (Región de),14,Murcia (Región de),Murcia,Comunidad Autónoma,FALSE
Navarra (Comunidad Foral de),15,Navarra (Comunidad Foral de),Navarra,Comunidad Autónoma,FALSE
País Vasco,16,País Vasco,País Vasco,Comunidad Autónoma,FALSE
Rioja (La),17,Rioja (La),La Rioja,Comunidad Autónoma,FALSE
Ceuta,18,Ceuta,Ceuta,Ciudad Autónoma,FALSE
Melilla,19,Melilla,Melilla,Ciudad Autónoma,FALSE