PeriodoID,Año,Trimestre,FechaInicio,Descripcion,OrdenCronologico
2008T1,2008,1,2008-01-01,1º Trimestre 2008,20081
2008T2,2008,2,2008-04-01,2º Trimestre 2008,20082
2008T3,2008,3,2008-07-01,3º Trimestre 2008,20083
2008T4,2008,4,2008-10-01,4º Trimestre 2008,20084
2009T1,2009,1,2009-01-01,1º Trimestre 2009,20091
2009T2,2009,2,2009-04-01,2º Trimestre 2009,20092
2009T3,2009,3,2009-07-01,3º Trimestre 2009,20093
2009T4,2009,4,2009-10-01,4º Trimestre 2009,20094
2010T1,2010,1,2010-01-01,1º Trimestre 2010,20101
2010T2,2010,2,2010-04-01,2º Trimestre 2010,20102
2010T3,2010,3,2010-07-01,3º Trimestre 2010,20103
2010T4,2010,4,2010-10-01,4º Trimestre 2010,20104
2011T1,2011,1,2011-01-01,1º Trimestre 2011,20111
2011T2,2011,2,2011-04-01,2º Trimestre 2011,20112
2011T3,2011,3,2011-07-01,3º Trimestre 2011,20113
2011T4,2011,4,2011-10-01,4º Trimestre 2011,20114
2012T1,2012,1,2012-01-01,1º Trimestre 2012,20121
2012T2,2012,2,2012-04-01,2º Trimestre 2012,20122
2012T3,2012,3,2012-07-01,3º Trimestre 2012,20123
2012T4,2012,4,2012-10-01,4º Trimestre 2012,20124
2013T1,2013,1,2013-01-01,1º Trimestre 2013,20131
2013T2,2013,2,2013-04-01,2º Trimestre 2013,20132
2013T3,2013,3,2013-07-01,3º Trimestre 2013,20133
2013T4,2013,4,2013-10-01,4º Trimestre 2013,20134
2014T1,2014,1,2014-01-01,1º Trimestre 2014,20141
2014T2,2014,2,2014-04-01,2º Trimestre 2014,20142
2014T3,2014,3,2014-07-01,3º Trimestre 2014,20143
2014T4,2014,4,2014-10-01,4º Trimestre 2014,20144
2015T1,2015,1,2015-01-01,1º Trimestre 2015,20151
2015T2,2015,2,2015-04-01,2º Trimestre 2015,20152
2015T3,2015,3,2015-07-01,3º Trimestre 2015,20153
2015T4,2015,4,2015-10-01,4º Trimestre 2015,20154
2016T1,2016,1,2016-01-01,1º Trimestre 2016,20161
2016T2,2016,2,2016-04-01,2º Trimestre 2016,20162
2016T3,2016,3,2016-07-01,3º Trimestre 2016,20163
2016T4,2016,4,2016-10-01,4º Trimestre 2016,20164
2017T1,2017,1,2017-01-01,1º Trimestre 2017,20171
2017T2,2017,2,2017-04-01,2º Trimestre 2017,20172
2017T3,2017,3,2017-07-01,3º Trimestre 2017,20173
2017T4,2017,4,2017-10-01,4º Trimestre 2017,20174
2018T1,2018,1,2018-01-01,1º Trimestre 2018,20181
2018T2,2018,2,2018-04-01,2º Trimestre 2018,20182
2018T3,2018,3,2018-07-01,3º Trimestre 2018,20183
2018T4,2018,4,2018-10-01,4º Trimestre 2018,20184
2019T1,2019,1,2019-01-01,1º Trimestre 2019,20191
2019T2,2019,2,2019-04-01,2º Trimestre 2019,20192
2019T3,2019,3,2019-07-01,3º Trimestre 2019,20193
2019T4,2019,4,2019-10-01,4º Trimestre 2019,20194
2020T1,2020,1,2020-01-01,1º Trimestre 2020,20201
2020T2,2020,2,2020-04-01,2º Trimestre 2020,20202
2020T3,2020,3,2020-07-01,3º Trimestre 2020,20203
2020T4,2020,4,2020-10-01,4º Trimestre 2020,20204
2021T1,2021,1,2021-01-01,1º Trimestre 2021,20211
2021T2,2021,2,2021-04-01,2º Trimestre 2021,20212
2021T3,2021,3,2021-07-01,3º Trimestre 2021,20213
2021T4,2021,4,2021-10-01,4º Trimestre 2021,20214
2022T1,2022,1,2022-01-01,1º Trimestre 2022,20221
2022T2,2022,2,2022-04-01,2º Trimestre 2022,20222
2022T3,2022,3,2022-07-01,3º Trimestre 2022,20223
2022T4,2022,4,2022-10-01,4º Trimestre 2022,20224
2023T1,2023,1,2023-01-01,1º Trimestre 2023,20231
2023T2,2023,2,2023-04-01,2º Trimestre 2023,20232
2023T3,2023,3,2023-07-01,3º Trimestre 2023,20233
2023T4,2023,4,2023-10-01,4º Trimestre 2023,20234
2024T1,2024,1,2024-01-01,1º Trimestre 2024,20241
2024T2,2024,2,2024-04-01,2º Trimestre 2024,20242
2024T3,2024,3,2024-07-01,3º Trimestre 2024,20243
2024T4,2024,4,2024-10-01,4º Trimestre 2024,20244