Comunidades y Ciudades Autónomas;Periodo;Total
09 Cataluña;2020T3;17,01
09 Cataluña;2020T2;18,05
09 Cataluña;2020T1;18,25
09 Cataluña;2019T4;17,32
09 Cataluña;2019T3;16,01
09 Cataluña;2019T2;17,01
09 Cataluña;2019T1;17,76
09 Cataluña;2018T4;16,73
09 Cataluña;2018T3;16,59
09 Cataluña;2018T2;17,36
09 Cataluña;2018T1;17,36
09 Cataluña;2017T4;17,07
09 Cataluña;2017T3;15,87
09 Cataluña;2017T2;16,89
09 Cataluña;2017T1;16,55
09 Cataluña;2016T4;17,07
09 Cataluña;2016T3;15,62
09 Cataluña;2016T2;16,39
09 Cataluña;2016T1;17,11
09 Cataluña;2015T4;16,59
09 Cataluña;2015T3;15,92
09 Cataluña;2015T2;16,8
09 Cataluña;2015T1;17,09
09 Cataluña;2014T4;14,91
09 Cataluña;2014T3;15,93
09 Cataluña;2014T2;15,69
09 Cataluña;2014T1;18,81
09 Cataluña;2013T4;16,56
09 Cataluña;2013T3;17,51
09 Cataluña;2013T2;16,69
09 Cataluña;2013T1;18,56
09 Cataluña;2012T4;17,6
09 Cataluña;2012T3;16,74
09 Cataluña;2012T2;16,15
09 Cataluña;2012T1;16,59
09 Cataluña;2011T4;16,27
09 Cataluña;2011T3;15,44
09 Cataluña;2011T2;16,41
09 Cataluña;2011T1;16,97
09 Cataluña;2010T4;17,41
09 Cataluña;2010T3;16,37
09 Cataluña;2010T2;16,93
09 Cataluña;2010T1;16,77
09 Cataluña;2009T4;16,67
09 Cataluña;2009T3;16,13
09 Cataluña;2009T2;15,98
09 Cataluña;2009T1;16,77
09 Cataluña;2008T4;16,86
09 Cataluña;2008T3;16,87
09 Cataluña;2008T2;15,94
09 Cataluña;2008T1;16,34
10 Comunitat Valenciana;2024T4;19,59
10 Comunitat Valenciana;2024T3;17,88
10 Comunitat Valenciana;2024T2;17,79
10 Comunitat Valenciana;2024T1;18,01
10 Comunitat Valenciana;2023T4;16,57
10 Comunitat Valenciana;2023T3;17,7
10 Comunitat Valenciana;2023T2;16,67
10 Comunitat Valenciana;2023T1;20,76
10 Comunitat Valenciana;2022T4;15,82
10 Comunitat Valenciana;2022T3;15,24
10 Comunitat Valenciana;2022T2;16,15
10 Comunitat Valenciana;2022T1;15,32
10 Comunitat Valenciana;2021T4;15,6
10 Comunitat Valenciana;2021T3;14,86
10 Comunitat Valenciana;2021T2;16,64
10 Comunitat Valenciana;2021T1;17,21
10 Comunitat Valenciana;2020T4;16
10 Comunitat Valenciana;2020T3;16,36
10 Comunitat Valenciana;2020T2;18,01
10 Comunitat Valenciana;2020T1;16,2
10 Comunitat Valenciana;2019T4;15,47
10 Comunitat Valenciana;2019T3;15,01
10 Comunitat Valenciana;2019T2;15,15
10 Comunitat Valenciana;2019T1;15,86
10 Comunitat Valenciana;2018T4;14,2
10 Comunitat Valenciana;2018T3;14,61
10 Comunitat Valenciana;2018T2;14,8
10 Comunitat Valenciana;2018T1;15,17
10 Comunitat Valenciana;2017T4;16,11
10 Comunitat Valenciana;2017T3;15,39
10 Comunitat Valenciana;2017T2;15,07
10 Comunitat Valenciana;2017T1;15,03
10 Comunitat Valenciana;2016T4;14,18
10 Comunitat Valenciana;2016T3;14,74
10 Comunitat Valenciana;2016T2;15,58
10 Comunitat Valenciana;2016T1;14,85
10 Comunitat Valenciana;2015T4;13,27
10 Comunitat Valenciana;2015T3;13,87
10 Comunitat Valenciana;2015T2;16,07
10 Comunitat Valenciana;2015T1;14,92
10 Comunitat Valenciana;2014T4;14,64
10 Comunitat Valenciana;2014T3;15,58
10 Comunitat Valenciana;2014T2;16,5
10 Comunitat Valenciana;2014T1;19,18
10 Comunitat Valenciana;2013T4;18,06
10 Comunitat Valenciana;2013T3;15,99
10 Comunitat Valenciana;2013T2;18,65
10 Comunitat Valenciana;2013T1;17,56
10 Comunitat Valenciana;2012T4;15,55
10 Comunitat Valenciana;2012T3;14,86
10 Comunitat Valenciana;2012T2;15,55
10 Comunitat Valenciana;2012T1;15,3
10 Comunitat Valenciana;2011T4;16,13
10 Comunitat Valenciana;2011T3;15,22
10 Comunitat Valenciana;2011T2;16,32
10 Comunitat Valenciana;2011T1;16,02
10 Comunitat Valenciana;2010T4;17,31
10 Comunitat Valenciana;2010T3;16,02
10 Comunitat Valenciana;2010T2;14,88
10 Comunitat Valenciana;2010T1;15,41
10 Comunitat Valenciana;2009T4;15,01
10 Comunitat Valenciana;2009T3;14,35
10 Comunitat Valenciana;2009T2;14,79
10 Comunitat Valenciana;2009T1;15,85
10 Comunitat Valenciana;2008T4;15,48
10 Comunitat Valenciana;2008T3;15,65
10 Comunitat Valenciana;2008T2;15,57
10 Comunitat Valenciana;2008T1;16,2
11 Extremadura;2024T4;19,97
11 Extremadura;2024T3;17,45
11 Extremadura;2024T2;20,04
11 Extremadura;2024T1;20,54
11 Extremadura;2023T4;19,18
11 Extremadura;2023T3;18,59
11 Extremadura;2023T2;19,89
11 Extremadura;2023T1;15,26
11 Extremadura;2022T4;16,04
11 Extremadura;2022T3;16,98
11 Extremadura;2022T2;17,02
11 Extremadura;2022T1;16,32
11 Extremadura;2021T4;19,36
11 Extremadura;2021T3;17,68
11 Extremadura;2021T2;18,4
11 Extremadura;2021T1;18,32
11 Extremadura;2020T4;17,44
11 Extremadura;2020T3;17,34
11 Extremadura;2020T2;17,07
11 Extremadura;2020T1;16,29
11 Extremadura;2019T4;17,81
11 Extremadura;2019T3;16,42
11 Extremadura;2019T2;20,97
11 Extremadura;2019T1;15,73
11 Extremadura;2018T4;16,9
11 Extremadura;2018T3;48,85
11 Extremadura;2018T2;17,67
11 Extremadura;2018T1;15,12
11 Extremadura;2017T4;13,34
11 Extremadura;2017T3;14,6
11 Extremadura;2017T2;14,2
11 Extremadura;2017T1;13,42
11 Extremadura;2016T4;15,89
11 Extremadura;2016T3;12,92
11 Extremadura;2016T2;13,21
11 Extremadura;2016T1;16
11 Extremadura;2015T4;12,65
11 Extremadura;2015T3;13,73
11 Extremadura;2015T2;12,92
11 Extremadura;2015T1;13,21
11 Extremadura;2014T4;13,09
11 Extremadura;2014T3;13,61
11 Extremadura;2014T2;13,18
11 Extremadura;2014T1;13,81
11 Extremadura;2013T4;13,12
11 Extremadura;2013T3;12,83
11 Extremadura;2013T2;14,68
11 Extremadura;2013T1;12,57
11 Extremadura;2012T4;16,79
11 Extremadura;2012T3;12,99
11 Extremadura;2012T2;14,16
11 Extremadura;2012T1;12,98
11 Extremadura;2011T4;13,35
11 Extremadura;2011T3;12,56
11 Extremadura;2011T2;12,7
11 Extremadura;2011T1;11,6
11 Extremadura;2010T4;14,67
11 Extremadura;2010T3;13,2
11 Extremadura;2010T2;14,42
11 Extremadura;2010T1;13,81
11 Extremadura;2009T4;14,45
11 Extremadura;2009T3;13,2
11 Extremadura;2009T2;16,55
11 Extremadura;2009T1;13,77
11 Extremadura;2008T4;15,07
11 Extremadura;2008T3;13,57
11 Extremadura;2008T2;16,14
11 Extremadura;2008T1;13,36
12 Galicia;2024T4;19,39
12 Galicia;2024T3;18,01
12 Galicia;2024T2;19,35
12 Galicia;2024T1;20,84
12 Galicia;2023T4;19,84
12 Galicia;2023T3;18,56
12 Galicia;2023T2;19,5
12 Galicia;2023T1;19,52
12 Galicia;2022T4;18,21
12 Galicia;2022T3;18,66
12 Galicia;2022T2;19,33
12 Galicia;2022T1;17,59
12 Galicia;2021T4;18,52
12 Galicia;2021T3;18,79
12 Galicia;2021T2;20,52
12 Galicia;2021T1;17,77
12 Galicia;2020T4;18,56
12 Galicia;2020T3;17,16
12 Galicia;2020T2;18,86
12 Galicia;2020T1;17,53
12 Galicia;2019T4;18,15
12 Galicia;2019T3;17,54
12 Galicia;2019T2;17,8
12 Galicia;2019T1;17,86
12 Galicia;2018T4;17,57
12 Galicia;2018T3;20,25
12 Galicia;2018T2;18,68
12 Galicia;2018T1;17,98
12 Galicia;2017T4;17,18
12 Galicia;2017T3;18,69
12 Galicia;2017T2;17,42
12 Galicia;2017T1;15,84
12 Galicia;2016T4;17,64
12 Galicia;2016T3;16,98
12 Galicia;2016T2;17,95
12 Galicia;2016T1;16,03
12 Galicia;2015T4;17,56
12 Galicia;2015T3;16,01
12 Galicia;2015T2;18,05
12 Galicia;2015T1;18,04
12 Galicia;2014T4;15,07
12 Galicia;2014T3;14,57
12 Galicia;2014T2;18,38
12 Galicia;2014T1;17,09
12 Galicia;2013T4;19,06
12 Galicia;2013T3;16,53
12 Galicia;2013T2;17,79
12 Galicia;2013T1;18,96
12 Galicia;2012T4;18,68
12 Galicia;2012T3;19,09
12 Galicia;2012T2;17,94
12 Galicia;2012T1;18,4
12 Galicia;2011T4;17,81
12 Galicia;2011T3;18,81
12 Galicia;2011T2;17,92
12 Galicia;2011T1;18,75
12 Galicia;2010T4;17,86
12 Galicia;2010T3;18
12 Galicia;2010T2;17,83
12 Galicia;2010T1;17,85
12 Galicia;2009T4;16,59
12 Galicia;2009T3;15,88
12 Galicia;2009T2;16,11
12 Galicia;2009T1;18,05
12 Galicia;2008T4;15,81
12 Galicia;2008T3;15,54
12 Galicia;2008T2;14,52
12 Galicia;2008T1;15,03
13 Madrid, Comunidad de;2024T4;17,41
13 Madrid, Comunidad de;2024T3;17,24
13 Madrid, Comunidad de;2024T2;18,47
13 Madrid, Comunidad de;2024T1;17,51
13 Madrid, Comunidad de;2023T4;17,63
13 Madrid, Comunidad de;2023T3;16,32
13 Madrid, Comunidad de;2023T2;17,36
13 Madrid, Comunidad de;2023T1;18,06
13 Madrid, Comunidad de;2022T4;17,23
13 Madrid, Comunidad de;2022T3;16,34
13 Madrid, Comunidad de;2022T2;16,74
13 Madrid, Comunidad de;2022T1;15,83
13 Madrid, Comunidad de;2021T4;15,63
13 Madrid, Comunidad de;2021T3;14,33
13 Madrid, Comunidad de;2021T2;17,8
13 Madrid, Comunidad de;2021T1;16,74
13 Madrid, Comunidad de;2020T4;15,87
13 Madrid, Comunidad de;2020T3;15,38
13 Madrid, Comunidad de;2020T2;17,06
13 Madrid, Comunidad de;2020T1;15,31
13 Madrid, Comunidad de;2019T4;13,4
13 Madrid, Comunidad de;2019T3;13,38
13 Madrid, Comunidad de;2019T2;15,58
13 Madrid, Comunidad de;2019T1;15,26
13 Madrid, Comunidad de;2018T4;13,59
13 Madrid, Comunidad de;2018T3;12,35
13 Madrid, Comunidad de;2018T2;12,75
13 Madrid, Comunidad de;2018T1;13,76
13 Madrid, Comunidad de;2017T4;13,82
13 Madrid, Comunidad de;2017T3;11,97
13 Madrid, Comunidad de;2017T2;13,49
13 Madrid, Comunidad de;2017T1;13,76
13 Madrid, Comunidad de;2016T4;14,6
13 Madrid, Comunidad de;2016T3;12,08
13 Madrid, Comunidad de;2016T2;13,54
13 Madrid, Comunidad de;2016T1;13,83
13 Madrid, Comunidad de;2015T4;13,97
13 Madrid, Comunidad de;2015T3;13,38
13 Madrid, Comunidad de;2015T2;13,35
13 Madrid, Comunidad de;2015T1;14,59
13 Madrid, Comunidad de;2014T4;14,8
13 Madrid, Comunidad de;2014T3;13,78
13 Madrid, Comunidad de;2014T2;15,07
13 Madrid, Comunidad de;2014T1;14,69
13 Madrid, Comunidad de;2013T4;13,53
13 Madrid, Comunidad de;2013T3;13,62
13 Madrid, Comunidad de;2013T2;15,08
13 Madrid, Comunidad de;2013T1;15,02
13 Madrid, Comunidad de;2012T4;13,67
13 Madrid, Comunidad de;2012T3;13,22
13 Madrid, Comunidad de;2012T2;13,72
13 Madrid, Comunidad de;2012T1;13,86
13 Madrid, Comunidad de;2011T4;13,34
13 Madrid, Comunidad de;2011T3;12,94
13 Madrid, Comunidad de;2011T2;13,57
13 Madrid, Comunidad de;2011T1;13,33
13 Madrid, Comunidad de;2010T4;13,3
13 Madrid, Comunidad de;2010T3;12,36
13 Madrid, Comunidad de;2010T2;13,07
13 Madrid, Comunidad de;2010T1;13,28
13 Madrid, Comunidad de;2009T4;13,47
13 Madrid, Comunidad de;2009T3;13,69
13 Madrid, Comunidad de;2009T2;13,65
13 Madrid, Comunidad de;2009T1;13,94
13 Madrid, Comunidad de;2008T4;13,11
13 Madrid, Comunidad de;2008T3;12,66
13 Madrid, Comunidad de;2008T2;13,5
13 Madrid, Comunidad de;2008T1;12,93
14 Murcia, Región de;2024T4;18,18
14 Murcia, Región de;2024T3;18
14 Murcia, Región de;2024T2;17,13
14 Murcia, Región de;2024T1;17,15
14 Murcia, Región de;2023T4;16,69
14 Murcia, Región de;2023T3;18
14 Murcia, Región de;2023T2;17,89
14 Murcia, Región de;2023T1;17,99
14 Murcia, Región de;2022T4;16,02
14 Murcia, Región de;2022T3;16,03
14 Murcia, Región de;2022T2;17,25
14 Murcia, Región de;2022T1;15,8
14 Murcia, Región de;2021T4;13,89
14 Murcia, Región de;2021T3;14,43
14 Murcia, Región de;2021T2;15,61
14 Murcia, Región de;2021T1;15,14
14 Murcia, Región de;2020T4;13,96
14 Murcia, Región de;2020T3;14,53
14 Murcia, Región de;2020T2;15,25
14 Murcia, Región de;2020T1;15,69
14 Murcia, Región de;2019T4;14,39
14 Murcia, Región de;2019T3;13,88
14 Murcia, Región de;2019T2;13,25
14 Murcia, Región de;2019T1;13,17
14 Murcia, Región de;2018T4;17,57
14 Murcia, Región de;2018T3;22,9
14 Murcia, Región de;2018T2;14,79
14 Murcia, Región de;2018T1;15,39
14 Murcia, Región de;2017T4;16,91
14 Murcia, Región de;2017T3;14,75
14 Murcia, Región de;2017T2;15,99
14 Murcia, Región de;2017T1;16,27
14 Murcia, Región de;2016T4;14,91
14 Murcia, Región de;2016T3;14,99
14 Murcia, Región de;2016T2;15,95
14 Murcia, Región de;2016T1;17,86
14 Murcia, Región de;2015T4;16,03
14 Murcia, Región de;2015T3;16,29
14 Murcia, Región de;2015T2;15,46
14 Murcia, Región de;2015T1;15,89
14 Murcia, Región de;2014T4;15,7
14 Murcia, Región de;2014T3;16,27
14 Murcia, Región de;2014T2;14,7
14 Murcia, Región de;2014T1;17,26
14 Murcia, Región de;2013T4;11,79
14 Murcia, Región de;2013T3;16,31
14 Murcia, Región de;2013T2;14,47
14 Murcia, Región de;2013T1;14,25
14 Murcia, Región de;2012T4;15,89
14 Murcia, Región de;2012T3;15,61
14 Murcia, Región de;2012T2;13,92
14 Murcia, Región de;2012T1;14,53
14 Murcia, Región de;2011T4;15,78
14 Murcia, Región de;2011T3;15,27
14 Murcia, Región de;2011T2;14,9
14 Murcia, Región de;2011T1;14,66
14 Murcia, Región de;2010T4;15,64
14 Murcia, Región de;2010T3;14,51
14 Murcia, Región de;2010T2;14,7
14 Murcia, Región de;2010T1;16,49
14 Murcia, Región de;2009T4;20,8
14 Murcia, Región de;2009T3;17,82
14 Murcia, Región de;2009T2;17,96
14 Murcia, Región de;2009T1;14,3
14 Murcia, Región de;2008T4;20,5
14 Murcia, Región de;2008T3;18,56
14 Murcia, Región de;2008T2;17,43
14 Murcia, Región de;2008T1;14,13
15 Navarra, Comunidad Foral de;2024T4;23,84
15 Navarra, Comunidad Foral de;2024T3;21,28
15 Navarra, Comunidad Foral de;2024T2;23,17
15 Navarra, Comunidad Foral de;2024T1;21,92
15 Navarra, Comunidad Foral de;2023T4;21,57
15 Navarra, Comunidad Foral de;2023T3;20,32
15 Navarra, Comunidad Foral de;2023T2;20,73
15 Navarra, Comunidad Foral de;2023T1;20,42
15 Navarra, Comunidad Foral de;2022T4;19,58
15 Navarra, Comunidad Foral de;2022T3;20,17
15 Navarra, Comunidad Foral de;2022T2;21,48
15 Navarra, Comunidad Foral de;2022T1;21,19
15 Navarra, Comunidad Foral de;2021T4;20,17
15 Navarra, Comunidad Foral de;2021T3;18,76
15 Navarra, Comunidad Foral de;2021T2;19,45
15 Navarra, Comunidad Foral de;2021T1;21,87
15 Navarra, Comunidad Foral de;2020T4;21,55
15 Navarra, Comunidad Foral de;2020T3;18,86
15 Navarra, Comunidad Foral de;2020T2;18,39
15 Navarra, Comunidad Foral de;2020T1;19,72
15 Navarra, Comunidad Foral de;2019T4;18,18
15 Navarra, Comunidad Foral de;2019T3;18,14
15 Navarra, Comunidad Foral de;2019T2;18,34
15 Navarra, Comunidad Foral de;2019T1;19,03
15 Navarra, Comunidad Foral de;2018T4;19,12
15 Navarra, Comunidad Foral de;2018T3;17,47
15 Navarra, Comunidad Foral de;2018T2;18,22
15 Navarra, Comunidad Foral de;2018T1;19,08
15 Navarra, Comunidad Foral de;2017T4;18,81
15 Navarra, Comunidad Foral de;2017T3;17,2
15 Navarra, Comunidad Foral de;2017T2;16,08
15 Navarra, Comunidad Foral de;2017T1;16,7
15 Navarra, Comunidad Foral de;2016T4;18,79
15 Navarra, Comunidad Foral de;2016T3;15,45
15 Navarra, Comunidad Foral de;2016T2;17,75
15 Navarra, Comunidad Foral de;2016T1;17,68
15 Navarra, Comunidad Foral de;2015T4;18,7
15 Navarra, Comunidad Foral de;2015T3;19,07
15 Navarra, Comunidad Foral de;2015T2;17,79
15 Navarra, Comunidad Foral de;2015T1;16,6
15 Navarra, Comunidad Foral de;2014T4;18,63
15 Navarra, Comunidad Foral de;2014T3;17,67
15 Navarra, Comunidad Foral de;2014T2;18,82
15 Navarra, Comunidad Foral de;2014T1;19,72
15 Navarra, Comunidad Foral de;2013T4;18,74
15 Navarra, Comunidad Foral de;2013T3;18
15 Navarra, Comunidad Foral de;2013T2;16,12
15 Navarra, Comunidad Foral de;2013T1;18,23
15 Navarra, Comunidad Foral de;2012T4;17,94
15 Navarra, Comunidad Foral de;2012T3;18,82
15 Navarra, Comunidad Foral de;2012T2;18,96
15 Navarra, Comunidad Foral de;2012T1;20,48
15 Navarra, Comunidad Foral de;2011T4;19,06
15 Navarra, Comunidad Foral de;2011T3;19,91
15 Navarra, Comunidad Foral de;2011T2;20,85
15 Navarra, Comunidad Foral de;2011T1;21,29
15 Navarra, Comunidad Foral de;2010T4;20,45
15 Navarra, Comunidad Foral de;2010T3;18,82
15 Navarra, Comunidad Foral de;2010T2;18,48
15 Navarra, Comunidad Foral de;2010T1;19,98
15 Navarra, Comunidad Foral de;2009T4;24,22
15 Navarra, Comunidad Foral de;2009T3;19,47
15 Navarra, Comunidad Foral de;2009T2;19,91
15 Navarra, Comunidad Foral de;2009T1;20,78
15 Navarra, Comunidad Foral de;2008T4;20
15 Navarra, Comunidad Foral de;2008T3;18,31
15 Navarra, Comunidad Foral de;2008T2;19,18
15 Navarra, Comunidad Foral de;2008T1;18,67
16 País Vasco;2024T4;26,35
16 País Vasco;2024T3;24,77
16 País Vasco;2024T2;22,44
16 País Vasco;2024T1;23,85
16 País Vasco;2023T4;23,11
16 País Vasco;2023T3;21,78
16 País Vasco;2023T2;23,73
16 País Vasco;2023T1;24,61
16 País Vasco;2022T4;22,89
16 País Vasco;2022T3;23,2
16 País Vasco;2022T2;23,48
16 País Vasco;2022T1;22,05
16 País Vasco;2021T4;23,17
16 País Vasco;2021T3;20,2
16 País Vasco;2021T2;22,24
16 País Vasco;2021T1;22,94
16 País Vasco;2020T4;22,85
16 País Vasco;2020T3;20,88
16 País Vasco;2020T2;22,97
16 País Vasco;2020T1;21,45
16 País Vasco;2019T4;21,08
16 País Vasco;2019T3;20,7
16 País Vasco;2019T2;19,94
16 País Vasco;2019T1;20,79
16 País Vasco;2018T4;21,12
16 País Vasco;2018T3;21
16 País Vasco;2018T2;20,72
16 País Vasco;2018T1;21,2
16 País Vasco;2017T4;21,3
16 País Vasco;2017T3;20,37
16 País Vasco;2017T2;21,08
16 País Vasco;2017T1;21,5
16 País Vasco;2016T4;22,92
16 País Vasco;2016T3;21,62
16 País Vasco;2016T2;20,62
16 País Vasco;2016T1;19,16
16 País Vasco;2015T4;19,55
16 País Vasco;2015T3;18,55
16 País Vasco;2015T2;20,29
16 País Vasco;2015T1;20,51
16 País Vasco;2014T4;20,03
16 País Vasco;2014T3;21,44
16 País Vasco;2014T2;23,1
16 País Vasco;2014T1;22,97
16 País Vasco;2013T4;19,74
16 País Vasco;2013T3;16,53
16 País Vasco;2013T2;21,4
16 País Vasco;2013T1;20,71
16 País Vasco;2012T4;20,23
16 País Vasco;2012T3;14,66
16 País Vasco;2012T2;18,79
16 País Vasco;2012T1;20,63
16 País Vasco;2011T4;18,81
16 País Vasco;2011T3;16,86
16 País Vasco;2011T2;18,05
16 País Vasco;2011T1;17,02
16 País Vasco;2010T4;16,35
16 País Vasco;2010T3;15,89
16 País Vasco;2010T2;18,5
16 País Vasco;2010T1;17,94
16 País Vasco;2009T4;14,31
16 País Vasco;2009T3;15,77
16 País Vasco;2009T2;17,08
16 País Vasco;2009T1;15,06
16 País Vasco;2008T4;17,78
16 País Vasco;2008T3;16,79
16 País Vasco;2008T2;18,22
16 País Vasco;2008T1;17,74
17 Rioja, La;2024T4;19,96
17 Rioja, La;2024T3;19,94
17 Rioja, La;2024T2;19,98
17 Rioja, La;2024T1;19,35
17 Rioja, La;2023T4;20,67
17 Rioja, La;2023T3;19,04
17 Rioja, La;2023T2;18,05
17 Rioja, La;2023T1;19,03
17 Rioja, La;2022T4;19,22
17 Rioja, La;2022T3;18,71
17 Rioja, La;2022T2;20,06
17 Rioja, La;2022T1;19,63
17 Rioja, La;2021T4;17,23
17 Rioja, La;2021T3;17,05
17 Rioja, La;2021T2;16,66
17 Rioja, La;2021T1;15,2
17 Rioja, La;2020T4;15,89
17 Rioja, La;2020T3;14,68
17 Rioja, La;2020T2;16,36
17 Rioja, La;2020T1;17,1
17 Rioja, La;2019T4;15,8
17 Rioja, La;2019T3;16,75
17 Rioja, La;2019T2;16,71
17 Rioja, La;2019T1;16,71
17 Rioja, La;2018T4;19,32
17 Rioja, La;2018T3;19,34
17 Rioja, La;2018T2;16,01
17 Rioja, La;2018T1;18,05
17 Rioja, La;2017T4;17,73
17 Rioja, La;2017T3;17,51
17 Rioja, La;2017T2;16,58
17 Rioja, La;2017T1;19,03
17 Rioja, La;2016T4;17,7
17 Rioja, La;2016T3;19,59
17 Rioja, La;2016T2;19,64
17 Rioja, La;2016T1;22,04
17 Rioja, La;2015T4;16,19
17 Rioja, La;2015T3;19,67
17 Rioja, La;2015T2;18,84
17 Rioja, La;2015T1;21,05
17 Rioja, La;2014T4;16,38
17 Rioja, La;2014T3;18,27
17 Rioja, La;2014T2;19,43
17 Rioja, La;2014T1;20,21
17 Rioja, La;2013T4;19,07
17 Rioja, La;2013T3;22,41
17 Rioja, La;2013T2;19,41
17 Rioja, La;2013T1;19,85
17 Rioja, La;2012T4;23
17 Rioja, La;2012T3;18,97
17 Rioja, La;2012T2;17,81
17 Rioja, La;2012T1;16,26
17 Rioja, La;2011T4;19,92
17 Rioja, La;2011T3;19,11
17 Rioja, La;2011T2;18,61
17 Rioja, La;2011T1;19,07
17 Rioja, La;2010T4;21,35
17 Rioja, La;2010T3;19,42
17 Rioja, La;2010T2;19,62
17 Rioja, La;2010T1;19,26
17 Rioja, La;2009T4;17,62
17 Rioja, La;2009T3;17,99
17 Rioja, La;2009T2;17,74
17 Rioja, La;2009T1;17
17 Rioja, La;2008T4;18,53
17 Rioja, La;2008T3;18,17
17 Rioja, La;2008T2;17,13
17 Rioja, La;2008T1;16,58
